symbol,name,sector,weight
TDY,TELEDYNE TECHNOLOGIES INC,Unknown,0.0004808516973215169
EXR,EXTRA SPACE STORAGE INC,Unknown,0.0004768181599899479
IR,INGERSOLL RAND INC,Unknown,0.000473845553073134
RJF,RAYMOND JAMES FINANCIAL INC,Unknown,0.0004695918226366157
CASY,CASEY S GENERAL STORES INC,Unknown,0.000465127907872646
ON,ON SEMICONDUCTOR,Unknown,0.0004633563542555549
CFG,CITIZENS FINANCIAL GROUP,Unknown,0.0004623254501732928
BIIB,BIOGEN INC,Unknown,0.00046033370345125254
CBOE,CBOE GLOBAL MARKETS INC,Unknown,0.00045768137741436466
CNC,CENTENE CORP,Unknown,0.00045394810340772636
AEE,AMEREN CORPORATION,Unknown,0.0004521465234581422
ARES,ARES MANAGEMENT CORP   A,Unknown,0.00043987576224597435
DTE,DTE ENERGY COMPANY,Unknown,0.00043952545503355523
WSM,WILLIAMS SONOMA INC,Unknown,0.00043874477038873536
VICI,VICI PROPERTIES INC,Unknown,0.0004373235239840634
FISV,FISERV INC,Unknown,0.0004355319528119769
LYV,LIVE NATION ENTERTAINMENT IN,Unknown,0.0004342107941822818
XYL,XYLEM INC,Unknown,0.0004332799778749967
MTD,METTLER TOLEDO INTERNATIONAL,Unknown,0.00043104802049301187
ATO,ATMOS ENERGY CORP,Unknown,0.000430977959050528
DOV,DOVER CORP,Unknown,0.0004288961333310085
OTIS,OTIS WORLDWIDE CORP,Unknown,0.0004275949922563088
DG,DOLLAR GENERAL CORP,Unknown,0.0004241719903520989
Q,QNITY ELECTRONICS INC,Unknown,0.00042115934832529417
CINF,CINCINNATI FINANCIAL CORP,Unknown,0.00041808665363350336
HSY,HERSHEY CO/THE,Unknown,0.0004102297632978168
HAL,HALLIBURTON CO,Unknown,0.0004098093946429138
ES,EVERSOURCE ENERGY,Unknown,0.00040846821845822335
CTSH,COGNIZANT TECH SOLUTIONS A,Unknown,0.0004069368755010768
HUBB,HUBBELL INC,Unknown,0.00040511527799649724
RF,REGIONS FINANCIAL CORP,Unknown,0.0004043546109066728
CNP,CENTERPOINT ENERGY INC,Unknown,0.00040143204787734734
SYF,SYNCHRONY FINANCIAL,Unknown,0.0003994302923778094
DGX,QUEST DIAGNOSTICS INC,Unknown,0.00039847945851552885
AWK,AMERICAN WATER WORKS CO INC,Unknown,0.00039736848421328524
FSLR,FIRST SOLAR INC,Unknown,0.00039563696570618493
PPG,PPG INDUSTRIES INC,Unknown,0.0003941656754140245
PPL,PPL CORP,Unknown,0.00039315478888675784
CPAY,CORPAY INC,Unknown,0.00039297463089179934
LH,LABCORP HOLDINGS INC,Unknown,0.00039188367414455115
AVB,AVALONBAY COMMUNITIES INC,Unknown,0.0003912631299396944
EIX,EDISON INTERNATIONAL,Unknown,0.00039048244529487453
HPQ,HP INC,Unknown,0.00038925136566265875
CPRT,COPART INC,Unknown,0.00038809034747292663
NRG,NRG ENERGY INC,Unknown,0.00037911247405749885
VRSK,VERISK ANALYTICS INC,Unknown,0.0003752791122758836
PHM,PULTEGROUP INC,Unknown,0.0003724466282440374
SW,SMURFIT WESTROCK PLC,Unknown,0.00037177604015169207
WST,WEST PHARMACEUTICAL SERVICES,Unknown,0.0003717360050417014
CHD,CHURCH + DWIGHT CO INC,Unknown,0.00036871335423739897
FE,FIRSTENERGY CORP,Unknown,0.00036856322257493366
TROW,T ROWE PRICE GROUP INC,Unknown,0.0003674622570501877
DRI,DARDEN RESTAURANTS INC,Unknown,0.0003646197642408438
VLTO,VERALTO CORP,Unknown,0.0003633486494986372
VRSN,VERISIGN INC,Unknown,0.00036151704321655994
FICO,FAIR ISAAC CORP,Unknown,0.00036087648145670777
OMC,OMNICOM GROUP,Unknown,0.0003549412764005777
DLTR,DOLLAR TREE INC,Unknown,0.0003544808726356839
ULTA,ULTA BEAUTY INC,Unknown,0.00035417060053325556
EXPD,EXPEDITORS INTL WASH INC,Unknown,0.00035252916102363445
FFIV,F5 INC,Unknown,0.00035132810772391164
LUV,SOUTHWEST AIRLINES CO,Unknown,0.0003462036136450944
EQR,EQUITY RESIDENTIAL,Unknown,0.00034329105939326663
STE,STERIS PLC,Unknown,0.0003431409277308013
PFG,PRINCIPAL FINANCIAL GROUP,Unknown,0.000342310199198493
PKG,PACKAGING CORP OF AMERICA,Unknown,0.0003377361878820487
FIS,FIDELITY NATIONAL INFO SERV,Unknown,0.00033402293143040574
EXE,EXPAND ENERGY CORP,Unknown,0.0003323314480332961
DOW,DOW INC,Unknown,0.00032846805991918783
CMS,CMS ENERGY CORP,Unknown,0.00032780748060434034
IFF,INTL FLAVORS + FRAGRANCES,Unknown,0.0003265964185271198
AMCR,AMCOR PLC,Unknown,0.000326105988429733
SNA,SNAP ON INC,Unknown,0.000324234347037665
IP,INTERNATIONAL PAPER CO,Unknown,0.00032324347806539366
KHC,KRAFT HEINZ CO/THE,Unknown,0.00032267297774802537
WRB,WR BERKLEY CORP,Unknown,0.00032018079215110056
EL,ESTEE LAUDER COMPANIES CL A,Unknown,0.00031809896643158103
EFX,EQUIFAX INC,Unknown,0.00031594707926957773
KEY,KEYCORP,Unknown,0.00031521643851224637
BRO,BROWN + BROWN INC,Unknown,0.00031318465668021535
NI,NISOURCE INC,Unknown,0.00031304453379524765
TPL,TEXAS PACIFIC LAND CORP,Unknown,0.00031086262030075127
GPN,GLOBAL PAYMENTS INC,Unknown,0.0003077699080539651
JBHT,HUNT (JB) TRANSPRT SVCS INC,Unknown,0.0002998529650532923
DD,DUPONT DE NEMOURS INC,Unknown,0.0002990622716309748
INCY,INCYTE CORP,Unknown,0.0002977511217787775
L,LOEWS CORP,Unknown,0.00029539905906682035
SBAC,SBA COMMUNICATIONS CORP,Unknown,0.00029226631171004337
GIS,GENERAL MILLS INC,Unknown,0.00029055481075793843
EVRG,EVERGY INC,Unknown,0.0002888933536933219
BR,BROADRIDGE FINANCIAL SOLUTIO,Unknown,0.0002876022213961199
MRNA,MODERNA INC,Unknown,0.0002871117912987331
VTRS,VIATRIS INC,Unknown,0.00028604085210648026
ZBH,ZIMMER BIOMET HOLDINGS INC,Unknown,0.00028379888594699777
FTV,FORTIVE CORP,Unknown,0.0002801156558278478
STZ,CONSTELLATION BRANDS INC A,Unknown,0.00027897465519311117
ESS,ESSEX PROPERTY TRUST INC,Unknown,0.0002764724608186887
GPC,GENUINE PARTS CO,Unknown,0.0002758719341688273
LEN,LENNAR CORP A,Unknown,0.000275591688398892
WY,WEYERHAEUSER CO,Unknown,0.000274881065196556
CDW,CDW CORP/DE,Unknown,0.00027376008211681477
CF,CF INDUSTRIES HOLDINGS INC,Unknown,0.0002706873874250239
TSCO,TRACTOR SUPPLY COMPANY,Unknown,0.0002698666676702134
LNT,ALLIANT ENERGY CORP,Unknown,0.00026948633412530115
ZBRA,ZEBRA TECHNOLOGIES CORP CL A,Unknown,0.0002619797510020337
IEX,IDEX CORP,Unknown,0.0002611089873597347
CHRW,C.H. ROBINSON WORLDWIDE INC,Unknown,0.0002609088118097809
AKAM,AKAMAI TECHNOLOGIES INC,Unknown,0.00026013813594245877
PTC,PTC INC,Unknown,0.00025745578357307786
LDOS,LEIDOS HOLDINGS INC,Unknown,0.0002568152218132257
J,JACOBS SOLUTIONS INC,Unknown,0.00025666509015076033
NVR,NVR INC,Unknown,0.0002552838788560791
BALL,BALL CORP,Unknown,0.0002536924832339464
INVH,INVITATION HOMES INC,Unknown,0.00025053971832217413
SMCI,SUPER MICRO COMPUTER INC,Unknown,0.0002495588581274005
TSN,TYSON FOODS INC CL A,Unknown,0.00024929862991246053
KIM,KIMCO REALTY CORP,Unknown,0.00024868809448510144
NDSN,NORDSON CORP,Unknown,0.00024721680419294105
LYB,LYONDELLBASELL INDU CL A,Unknown,0.00024035078282952577
FDXF,FEDEX FREIGHT HOLDING CO,Unknown,0.0002395200542972175
BBY,BEST BUY CO INC,Unknown,0.00023749828124268414
SWK,STANLEY BLACK + DECKER INC,Unknown,0.00023707791258778115
MAA,MID AMERICA APARTMENT COMM,Unknown,0.00023470583232082864
GEN,GEN DIGITAL INC,Unknown,0.0002324738749388438
RL,RALPH LAUREN CORP,Unknown,0.00023157308496405172
MAS,MASCO CORP,Unknown,0.00023056219843678504
TXT,TEXTRON INC,Unknown,0.0002301818648918728
